category,n,prefill_cost_usd,decode_cost_usd,request_cost_usd,prefill_fraction,prefill_cost_per_input_token,decode_cost_per_output_token
trivial,11,7.573752451424647e-05,0.0012934615973270302,0.0013691991218412766,0.06202298675022444,1.8032743931963447e-06,7.0489093182851245e-06
recall,11,5.935534563931552e-05,0.0014410669635040593,0.0015004223091433747,0.050266764523165926,1.413222515221798e-06,7.034162916540583e-06
creative,11,7.492500362974224e-05,0.001658223205142551,0.0017331482087722934,0.048914592367242334,1.628804426733527e-06,7.07359189343985e-06
reasoning,11,0.00015261389992453836,0.001715412664895106,0.0018680265648196442,0.0809924853079328,2.1196374989519217e-06,7.079883876824218e-06
hard_structured,11,6.858822312017883e-05,0.0015864670541551379,0.0016550552772753165,0.04708615870476218,1.4910483286995397e-06,7.085100814146279e-06
