prompt,model,batch_size,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,cost_per_million_tokens,requests_per_sec,duration
Say hello in one word,qwen2.5:7b,32,8,32,32,0,6.173934519290924,6.1483399868011475,6.175338983535767,6.194369077682495,6.195719957351685,6.195719957351685,160,5.0,0.8098563378631767,274.397090,0.16197126757263533,197.56590461730957
Say hello in one word,qwen2.5:7b,32,16,32,32,0,12.238849349319935,12.204553127288818,12.212730884552002,12.27033019065857,12.270405054092407,12.270405054092407,160,5.0,0.40853513735568864,543.948860,0.08170702747113773,391.6431791782379
Say hello in one word,qwen2.5:7b,32,32,32,32,0,24.191042624413967,24.166060209274292,24.196252822875977,24.20340609550476,24.204349994659424,24.204349994659424,160,5.0,0.20668807366549485,1075.157450,0.04133761473309897,774.113363981247
