prompt,model,batch_size,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,requests_per_sec,duration,cost_per_million_tokens
Say hello in one word,qwen2.5:7b,32,8,32,32,0,6.199423857033253,6.181591033935547,6.199393033981323,6.211378335952759,6.211574077606201,6.211574077606201,160,5.0,0.8065265604202067,0.16130531208404134,198.3815634250641,275.5299492014779
Say hello in one word,qwen2.5:7b,32,16,32,32,0,12.191217042505741,12.160078048706055,12.163994789123535,12.221748113632202,12.221853017807007,12.221853017807007,160,5.0,0.41013132508157835,0.08202626501631567,390.1189453601837,541.8318685558107
Say hello in one word,qwen2.5:7b,32,32,32,32,0,24.23938960582018,24.23611283302307,24.23889708518982,24.243373155593872,24.244231939315796,24.244231939315796,160,5.0,0.20627582135151776,0.041255164270303554,775.6604673862457,1077.3062047031192
