prompt,model,batch_size,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,cost_per_million_tokens,requests_per_sec,duration
Say hello in one word,qwen2.5:7b,16,8,32,32,0,6.184753201901913,6.159925937652588,6.168510913848877,6.212589979171753,6.212660074234009,6.212660074234009,160,5.0,0.808439696261836,274.877920,0.1616879392523672,197.9121024608612
Say hello in one word,qwen2.5:7b,16,16,32,32,0,12.222191095352173,12.216440916061401,12.223151922225952,12.227230072021484,12.228516817092896,12.228516817092896,160,5.0,0.40909195094334505,543.208493,0.08181839018866902,391.11011505126953
Say hello in one word,qwen2.5:7b,16,32,32,32,0,24.302891567349434,24.295008897781372,24.30303692817688,24.309489011764526,24.310109853744507,24.310109853744507,160,5.0,0.2057368353121167,1080.128514,0.04114736706242334,777.6925301551819
