prompt,model,batch_size,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,cost_per_million_tokens,requests_per_sec,duration
Say hello in one word,qwen2.5:7b,8,8,32,32,0,6.194339498877525,6.136847019195557,6.199174880981445,6.24055290222168,6.241169214248657,6.241169214248657,160,5.0,0.8071885631883833,275.303978,0.16143771263767667,198.2188639640808
Say hello in one word,qwen2.5:7b,8,16,32,32,0,12.263261660933495,12.160356998443604,12.166162729263306,12.367239952087402,12.367892980575562,12.367892980575562,160,5.0,0.40772187190038267,545.033852,0.08154437438007653,392.4243731498718
Say hello in one word,qwen2.5:7b,8,32,32,32,0,21.659465849399567,18.58181881904602,18.586385011672974,24.736448049545288,24.73931908607483,24.73931908607483,160,5.0,0.23084595136212038,962.642927,0.046169190272424075,693.1029071807861
