prompt,model,device,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,requests_per_sec,duration
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,gpu,4,10,10,0,1.0039822816848756,0.4280998706817627,0.8857419490814209,1.652726173400879,1.652726173400879,1.652726173400879,407,40.7,40.53856401897608,0.9960335139797563,10.039822816848755
Summarize the plot of The Matrix in a single sentence,llama3.2:1b,gpu,8,10,10,0,1.8527448892593383,0.46715593338012695,1.5210402011871338,3.608889102935791,3.608889102935791,3.608889102935791,434,43.4,23.42470366621806,0.5397397158114761,18.527448892593384
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,gpu,1,10,10,0,1.1640291690826416,0.9837450981140137,1.1511130332946777,1.377814769744873,1.377814769744873,1.377814769744873,412,41.2,35.39430204525653,0.8590850010984594,11.640291690826416
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,gpu,2,10,10,0,1.5911996603012084,0.9303088188171387,1.2161762714385986,2.1888458728790283,2.1888458728790283,2.1888458728790283,387,38.7,24.32127216057489,0.6284566449760953,15.911996603012085
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,gpu,4,10,10,0,2.533757543563843,1.088003158569336,2.1185526847839355,4.42863392829895,4.42863392829895,4.42863392829895,414,41.4,16.339369212797312,0.3946707539323023,25.337575435638428
Summarize the plot of The Matrix in a single sentence,qwen2.5:7b,gpu,8,10,10,0,4.051683712005615,0.8550150394439697,3.104341983795166,8.311460018157959,8.311460018157959,8.311460018157959,382,38.2,9.42817917568662,0.24681097318551357,40.51683712005615
Translate 'Hello' to Spanish,llama3.2:1b,gpu,1,10,10,0,0.21720714569091798,0.20614194869995117,0.21636390686035156,0.22786474227905273,0.22786474227905273,0.22786474227905273,80,8.0,36.83120080857682,4.603900101072102,2.1720714569091797
Translate 'Hello' to Spanish,llama3.2:1b,gpu,2,10,10,0,0.27967236042022703,0.21076297760009766,0.23539280891418457,0.3452770709991455,0.3452770709991455,0.3452770709991455,80,8.0,28.604900348319894,3.575612543539987,2.7967236042022705
Translate 'Hello' to Spanish,llama3.2:1b,gpu,4,10,10,0,0.37835254669189455,0.2334439754486084,0.34566617012023926,0.5760118961334229,0.5760118961334229,0.5760118961334229,80,8.0,21.144300652784228,2.6430375815980285,3.7835254669189453
Translate 'Hello' to Spanish,llama3.2:1b,gpu,8,10,10,0,0.5725050687789917,0.23409199714660645,0.4759941101074219,1.029315710067749,1.029315710067749,1.029315710067749,80,8.0,13.973675407035214,1.7467094258794018,5.725050687789917
Translate 'Hello' to Spanish,qwen2.5:7b,gpu,1,10,10,0,0.44744784832000734,0.39360785484313965,0.3975520133972168,0.8650128841400146,0.8650128841400146,0.8650128841400146,93,9.3,20.784545137311273,2.23489732659261,4.474478483200073
Translate 'Hello' to Spanish,qwen2.5:7b,gpu,2,10,10,0,0.7278784513473511,0.3919398784637451,0.706845760345459,1.9036319255828857,1.9036319255828857,1.9036319255828857,117,11.7,16.074112344365364,1.3738557559286635,7.278784513473511
Translate 'Hello' to Spanish,qwen2.5:7b,gpu,4,10,10,0,1.076273798942566,0.29694318771362305,1.0398647785186768,2.0447511672973633,2.0447511672973633,2.0447511672973633,94,9.4,8.733837067515214,0.9291316029271506,10.76273798942566
Translate 'Hello' to Spanish,qwen2.5:7b,gpu,8,10,10,0,1.949137020111084,0.3021869659423828,1.0521023273468018,5.125434160232544,5.125434160232544,5.125434160232544,140,14.0,7.182665895495701,0.5130475639639785,19.49137020111084
Write a short Python function that computes factorial,llama3.2:1b,gpu,1,10,10,0,2.2334288120269776,1.5164649486541748,2.1441750526428223,3.3029727935791016,3.3029727935791016,3.3029727935791016,1643,164.3,73.5640191956185,0.4477420523166068,22.334288120269775
Write a short Python function that computes factorial,llama3.2:1b,gpu,2,10,10,0,3.2157764434814453,1.727036714553833,2.2572426795959473,5.556515216827393,5.556515216827393,5.556515216827393,1646,164.6,51.18515011628162,0.3109668901353683,32.15776443481445
Write a short Python function that computes factorial,llama3.2:1b,gpu,4,10,10,0,5.361850452423096,2.074679136276245,4.65748405456543,9.702507972717285,9.702507972717285,9.702507972717285,1920,192.0,35.808533211371554,0.18650277714256017,53.61850452423096
Write a short Python function that computes factorial,llama3.2:1b,gpu,8,10,10,0,7.496684646606445,1.5698058605194092,5.1668970584869385,16.396486043930054,16.396486043930054,16.396486043930054,1592,159.2,21.236054003160678,0.13339229901482838,74.96684646606445
Write a short Python function that computes factorial,qwen2.5:7b,gpu,1,10,10,0,5.629737091064453,3.763076066970825,5.970747709274292,6.55065393447876,6.55065393447876,6.55065393447876,1292,129.2,22.949561926269503,0.17762818828381968,56.29737091064453
Write a short Python function that computes factorial,qwen2.5:7b,gpu,2,10,10,0,8.275663232803344,4.689635992050171,6.0100061893463135,11.57417893409729,11.57417893409729,11.57417893409729,1266,126.6,15.297867547120426,0.12083623654913449,82.75663232803345
Write a short Python function that computes factorial,qwen2.5:7b,gpu,4,10,10,0,14.485020279884338,5.564435958862305,12.254397869110107,26.69327998161316,26.69327998161316,26.69327998161316,1444,144.4,9.968919422262143,0.06903683810430847,144.85020279884338
Write a short Python function that computes factorial,qwen2.5:7b,gpu,8,10,10,0,22.30129220485687,5.643003225326538,18.87580108642578,45.43091011047363,45.43091011047363,45.43091011047363,1360,136.0,6.098301333874336,0.04484045098437012,223.01292204856873
