prompt,backend,model,concurrency,requested,success_count,failure_count,avg_latency,min_latency,p50_latency,p95_latency,p99_latency,max_latency,total_tokens,avg_tokens,tokens_per_sec,cost_per_million_tokens,requests_per_sec,duration
What is deep learning?,ollama,qwen2.5:7b,1,16,16,0,1.2868078500032425,1.260038137435913,1.2768208980560303,1.4042041301727295,1.4042041301727295,1.4042041301727295,708,44.25,34.38741844781915,6.462312,0.7771168010806588,20.58892560005188
What is deep learning?,mlx,qwen2.5:7b,1,16,16,0,2.66485795378685,2.626107931137085,2.6452019214630127,2.888071298599243,2.888071298599243,2.888071298599243,752,47.0,17.636962575514193,12.599801,0.37525452288328065,42.6377272605896
What is deep learning?,ollama,qwen2.5:7b,4,16,16,0,3.0858818739652634,1.2742259502410889,2.518615961074829,4.884855031967163,4.884855031967163,4.884855031967163,707,44.1875,14.319245455504237,15.519129,0.3240564742405485,49.374109983444214
What is deep learning?,mlx,qwen2.5:7b,4,16,16,0,10.375420227646828,10.198235750198364,10.300565958023071,10.62791395187378,10.62791395187378,10.62791395187378,752,47.0,4.5299370019502065,49.056360,0.0963816383393661,166.00672364234924
What is deep learning?,ollama,qwen2.5:7b,8,16,16,0,5.459892079234123,1.31547212600708,4.865040063858032,9.602166175842285,9.602166175842285,9.602166175842285,700,43.75,8.01297889502185,27.732785,0.18315380331478517,87.35827326774597
What is deep learning?,mlx,qwen2.5:7b,8,16,16,0,20.54755674302578,20.50486922264099,20.51198697090149,20.58766198158264,20.58766198158264,20.58766198158264,752,47.0,2.2873765765826475,97.151569,0.04866758673580101,328.7609078884125
What is deep learning?,ollama,qwen2.5:7b,16,16,16,0,10.259636208415031,1.3756790161132812,9.665319919586182,19.13209295272827,19.13209295272827,19.13209295272827,713,44.5625,4.343477594600236,51.162281,0.09746934293633067,164.1541793346405
What is deep learning?,mlx,qwen2.5:7b,16,16,16,0,41.74097475409508,41.735631704330444,41.741219997406006,41.74571084976196,41.74571084976196,41.74571084976196,752,47.0,1.1259919126682343,197.356855,0.02395727473762201,667.8555960655212
